Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,screening_form,,text,Record ID,,,,,,,,,,,,,
a_men_optimistic,adult_baseline_survey,"<div class=""rich-text-field-label""><h5><span style=""text-decoration: underline;"">G. Mental Wellbeing</span></h5></div>
<hr></hr>
Below are some statements about feelings and thoughts. Please check the box that best describes your experience of each over the last 14 days.",radio,46. I've been feeling optimistic about the future,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_useful,adult_baseline_survey,,radio,47. I've been feeling useful,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_relaxed,adult_baseline_survey,,radio,48. I've been feeling relaxed,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_people,adult_baseline_survey,,radio,49. I've been feeling interested in other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_energy,adult_baseline_survey,,radio,50. I've had energy to spare,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_problems,adult_baseline_survey,,radio,51. I've been dealing with problems well,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_clear,adult_baseline_survey,,radio,52. I've been thinking clearly,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_feelgood,adult_baseline_survey,,radio,53. I've been feeling good about myself,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
a_men_close,adult_baseline_survey,,radio,54. I've been feeling close to other people,"1, None of the time | 2, Rarely | 3, Some of the time | 4, Often | 5, All of the time",,,,,,,,,,mentalwell,,
